ID;ID_descr;Dte;Hr;Dy;Mth;Yr;Wk_dy;Obs_dy;Obs%;Stk_Pil%;Pow_MS;Alim_MS;Rpm_MS;Ton_MS;Feed_P_MS;Disx_P_MS;Q_Pebb;Sld%_MS;Torq_MS;H2O_MS;Critimp;Stimp;Top_Sz;P80_MS;P50_MS;Pebb_Crx;H2O_Trl;H2O_Hrn;H2O_Box;Lv_Box;Lv_Tolv;Corri_Cr_A;Corri_Cr_B;Rpm_MB_A;Pow_MB_A;Ton_MB_A;Feed_P_MB_A;Disx_P_MB_A;Pres_BHC_A;Calim_BHC_A;Sld%_MB_A;Rho_MB_A;Num_BHC_A;Pow_Bba_BHC_A;Vel_Bba_BHC_A;M150%_BHC_A;Rpm_MB_B;Pow_MB_B;Ton_MB_B;Feed_P_MB_B;Disx_P_MB_B;Pres_BHC_B;Calim_BHC_B;Sld%_MB_B;Rho_MB_B;Num_BHC_B;Pow_Bba_BHC_B;Vel_Bba_BHC_B;M150%_BHC_B
1;01-01-2016 0:00;01-01-2016;0:00:00;1;1;2016;5;1;0.000004;79.98;18828.76;4301.83;8.04;2922.58;7331.16;6982.02;279.50;72.00;-22365.10;1671.16;30.71;883.94;163658.91;61465.70;22533.35;0;105.46;331.60;3497.87;75.14;59.62;0;0;11.30;12187.86;0;7542.02;6737.46;13.05;7261.29;55.24;1541.17;0;1356.00;93.06;16.6274873;11.60;12523.18;0;7415.05;6623.36;13.02;6578.48;56.93;1583.67;0;1371.21;93.85;0
2;01-01-2016 0:15;01-01-2016;0:15:00;1;1;2016;5;1;0.000023;78.64;18810.40;4261.38;8.04;2919.77;7326.37;6978.51;277.61;72.00;-22342.93;1672.83;33.50;943.69;165279.80;61629.55;23354.28;0;105.60;331.83;3499.04;81.11;59.88;0;0;11.30;12217.97;0;7521.70;6716.81;13.02;6835.67;53.38;1543.68;9.00;1285.46;91.91;16.18443314;11.60;12511.16;0;7422.98;6630.35;13.05;6661.81;58.02;1583.70;0;1356.12;93.42;0
3;01-01-2016 0:30;01-01-2016;0:30:00;1;1;2016;5;1;0.000042;77.55;18940.93;3566.03;8.04;2922.39;7338.07;6988.85;289.87;70.22;-22500.39;1592.12;37.83;909.58;167751.51;62997.32;23862.75;0;106.46;332.40;3512.91;69.05;61.36;0;0;11.30;12182.86;0;7564.83;6755.23;13.05;7302.99;54.64;1546.92;0;1395.61;93.78;16.81079996;11.60;12496.08;0;7447.22;6653.88;13.04;6547.38;57.86;1590.20;0;1415.14;94.58;0
4;01-01-2016 0:45;01-01-2016;0:45:00;1;1;2016;5;1;0.000060;76.98;18763.80;4353.54;8.04;2914.65;7318.42;6965.82;273.41;72.10;-22287.43;1657.73;45.63;1154.28;169913.92;70523.34;25634.59;0;105.93;332.99;3512.24;72.28;62.79;0;0;11.30;12244.53;0;7553.39;6744.85;13.04;7275.91;53.97;1540.57;0;1380.95;93.52;17.18361235;11.59;12552.91;0;7427.31;6636.32;13.03;6575.70;57.97;1587.73;0;1399.55;94.30;0
5;01-01-2016 1:00;01-01-2016;1:00:00;1;1;2016;5;1;0.000079;71.13;18902.88;3864.85;8.04;2922.77;7339.79;6988.99;305.00;71.98;-22452.40;1706.99;36.07;984.56;166100.21;59619.20;22441.16;395.76;104.40;329.98;3598.55;77.74;62.25;59.75;0;11.30;12203.52;0;7575.64;6761.85;13.29;7382.37;54.94;1545.59;0;1407.34;93.76;0.0;11.59;12529.38;0;7453.11;6657.92;13.24;6736.72;57.25;1590.74;0;1429.74;94.64;0
6;01-01-2016 1:15;01-01-2016;1:15:00;1;1;2016;5;1;0.000098;0;19097.79;3908.74;8.04;2936.77;7377.68;7024.70;328.93;71.93;-22683.58;1675.09;26.93;582.11;167593.39;71750.20;27795.00;393.31;102.77;328.51;3601.32;70.15;59.69;56.25;0;11.30;12115.21;0;7597.43;6782.58;13.91;7540.78;55.70;1553.20;0;1479.17;95.06;0.0;11.59;12443.73;0;7478.86;6678.21;13.89;6824.89;58.58;1598.46;0;1506.50;96.00;0
7;01-01-2016 1:30;01-01-2016;1:30:00;1;1;2016;5;1;0.000117;67.26;19045.27;3981.66;8.04;2933.29;7371.15;7015.52;222.61;72.67;-22624.11;1619.09;44.48;1299.59;171326.45;83874.31;34602.36;387.41;104.90;332.06;3595.05;71.45;56.88;49.42;0;11.30;12178.36;0;7573.34;6759.88;13.55;6789.83;58.84;1554.69;0;1292.60;92.19;0.0;11.59;12505.42;0;7460.32;6665.82;13.68;6257.21;61.62;1601.45;8.00;1343.84;93.25;0
8;01-01-2016 1:45;01-01-2016;1:45:00;1;1;2016;5;1;0.000136;63.00;19340.33;3805.86;8.04;2949.62;7417.40;7060.02;289.39;71.94;-22973.20;1637.65;21.48;592.65;164197.31;78205.23;31491.73;374.11;104.05;330.20;3594.34;72.95;54.94;59.00;0;11.29;12149.51;0;7593.39;6777.23;13.07;7397.46;55.07;1553.43;0;1403.21;93.63;17.11709976;11.60;12451.99;0;7473.79;6677.82;13.09;6559.85;58.51;1600.35;0;1413.73;94.21;0
9;01-01-2016 2:00;01-01-2016;2:00:00;1;1;2016;5;1;0.000155;0;19401.35;3720.75;8.03;2953.96;7426.27;7068.62;307.09;72.01;-23042.62;1625.95;19.90;482.00;169297.62;82429.27;35275.78;380.50;104.10;328.78;3599.98;73.18;52.22;58.67;0;11.30;12169.58;0;7583.48;6767.31;13.03;7309.29;55.24;1544.05;0;1389.12;93.59;17.5828385;11.60;12441.49;0;7479.16;6680.84;12.97;7316.68;57.26;1592.78;0;1570.15;96.83;0
10;01-01-2016 2:15;01-01-2016;2:15:00;1;1;2016;5;1;0.000174;0;19365.56;3846.87;8.04;2951.96;7424.77;7065.66;308.13;72.00;-23006.42;1622.43;18.59;537.63;167117.72;85366.13;35727.19;372.65;104.76;330.62;3598.56;67.64;50.55;60.95;0;11.30;12163.48;0;7576.88;6761.76;13.12;7156.08;55.17;1549.18;8.00;1353.20;93.21;16.52196019;11.60;12489.29;0;7447.96;6652.14;13.08;6442.82;57.97;1596.78;0;1438.20;95.13;0
